% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 24 2024, 15:32
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9999796307939589+1.2167769397365842E-9i
0.021544346900318832                              0.9999796307938809+2.621466436156914E-9i
0.046415888336127774                              0.9999796307955054+5.647778114481551E-9i
0.1                                               0.999979630797219+1.2167767869875742E-8i
0.21544346900318834                               0.9999796308074207+2.6214649072859624E-8i
0.46415888336127775                               0.9999796308486009+5.6477627699998855E-8i
1                                                 0.9999796310439163+1.216761448684907E-7i
2.154434690031882                                 0.9999796319474553+2.621311775973487E-7i
4.6415888336127775                                0.9999796361338521+5.646243148421162E-7i
10                                                0.9999796554320941+1.21528613737824E-6i
21.54434690031882                                 0.9999797428733073+2.6076523101803562E-6i
46.41588833612777                                 0.9999801189945663+5.5272089895799775E-6i
100                                               0.9999814861339607+1.1292542444132824E-5i
215.44346900318823                                0.9999853321497539+2.1801315534446417E-5i
464.1588833612773                                 0.9999948288747256+3.955922778633879E-5i
1000                                              1.0000158980229408+6.579413161157126E-5i
2154.4346900318824                                1.000055623782834+9.698365960030325E-5i
4641.588833612773                                 1.0001165767306315+1.2337831301347722E-4i
10000                                             1.0001913725804454+1.3453225740666253E-4i
21544.346900318822                                1.000266235452584+1.27729780944321E-4i
46415.888336127726                                1.0003302955226436+1.0840227259745475E-4i
100000                                            1.0003796518546813+8.379597609212222E-5i
215443.46900318822                                1.0004152594469342+5.823081605862378E-5i
464158.8833612772                                 1.0004396808814975+3.1863282162867035E-5i
1000000                                           1.0004548534404838+4.0023560076586667E-7i
2154434.6900318777                                1.0004592062613777-4.632078951136378E-5i
4641588.833612773                                 1.0004383041051428-1.2505005682398562E-4i
10000000                                          1.0003434114129832-2.35831710537129E-4i
2.154434690031878E7                               1.0001424568516235-2.8104240740561083E-4i
4.641588833612773E7                               0.9999786698547619-1.9563009965188098E-4i
100000000                                         0.9999193542049272-1.0216888152166961E-4i
2.1544346900318778E8                              0.9999042659572146-4.915556568481762E-5i
4.641588833612773E8                               0.9999005591374921-2.3332624332970776E-5i
1000000000                                        0.9998994866714505-1.1144259935446011E-5i
2.154434690031878E9                               0.9998990490783228-5.42311579544005E-6i
4.641588833612773E9                               0.9998987692100948-2.7391456201477226E-6i
1.0E10                                            0.9998985252879767-1.4349470457949056E-6i
