% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 24 2024, 15:31
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              1.0001271935863347+1.5871316583230698E-9i
0.021544346900318832                              1.0001271935864273+3.4193714877204443E-9i
0.046415888336127774                              1.000127193587592+7.366812411729042E-9i
0.1                                               1.0001271935906832+1.5871314784835078E-8i
0.21544346900318834                               1.000127193602375+3.419369675903459E-8i
0.46415888336127775                               1.0001271936548215+7.366794255441947E-8i
1                                                 1.0001271939016774+1.5871133241010057E-7i
2.154434690031882                                 1.0001271950589685+3.4191883432692765E-7i
4.6415888336127775                                1.000127200423718+7.364988630502264E-7i
10                                                1.0001272251966622+1.5853372928295477E-6i
21.54434690031882                                 1.0001273379135338+3.4022397262884237E-6i
46.41588833612777                                 1.0001278241146576+7.213054430618094E-6i
100                                               1.0001295911180623+1.4743068442553062E-5i
215.44346900318823                                1.0001345524137732+2.8493204740088507E-5i
464.1588833612773                                 1.0001467833659696+5.1836418998196846E-5i
1000                                              1.000173966253355+8.671163170805718E-5i
2154.4346900318824                                1.0002256601257293+1.292198830511953E-4i
4641.588833612773                                 1.0003064252093026+1.6719294186067797E-4i
10000                                             1.0004082114974615+1.861985199750939E-4i
21544.346900318822                                1.0005131769355817+1.806622214095397E-4i
46415.888336127726                                1.000605426613041+1.5636407973719488E-4i
100000                                            1.0006779423595795+1.2305370678973254E-4i
215443.46900318822                                1.0007309762820569+8.74315340741491E-5i
464158.8833612772                                 1.000767764532378+5.0670504364680847E-5i
1000000                                           1.000791315658184+7.814184034065288E-6i
2154434.6900318777                                1.00080099872126-5.413906277160573E-5i
4641588.833612773                                 1.000782407583498-1.5917752764874535E-4i
10000000                                          1.0006773203995256-3.2528688054486645E-4i
2.154434690031878E7                               1.0003971274778634-4.5457116234436595E-4i
4.641588833612773E7                               1.0000866719408417-3.677340711869634E-4i
100000000                                         0.99994809602543-2.0353203898753044E-4i
2.1544346900318778E8                              0.9999107292781425-9.891269266219056E-5i
4.641588833612773E8                               0.9999019488633345-4.668573448832734E-5i
1000000000                                        0.9998997866558051-2.1985214814612306E-5i
2.154434690031878E9                               0.9998991331960784-1.042173500810499E-5i
4.641588833612773E9                               0.9998988477890983-5.019593608662319E-6i
1.0E10                                            0.9998986491025509-2.4993681901667572E-6i
