% Model:              BrushLayer.mph
% Version:            COMSOL 6.0.0.405
% Date:               May 16 2024, 12:55
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.999576218695227+4.4800365305437225E-10i
0.021544346900318832                              0.9995762186953234+9.651946059093041E-10i
0.046415888336127774                              0.999576218695429+2.0794487024014764E-9i
0.1                                               0.9995762186961314+4.480036038231101E-9i
0.21544346900318834                               0.9995762186994452+9.651941231503785E-9i
0.46415888336127775                               0.9995762187149313+2.0794438803793396E-8i
1                                                 0.9995762187867008+4.4799878208792965E-8i
2.154434690031882                                 0.9995762191195822+9.651459154642258E-8i
4.6415888336127775                                0.999576220663581+2.078962250902652E-7i
10                                                0.9995762278045778+4.4751921616624365E-7i
21.54434690031882                                 0.9995762604135695+9.604434375975835E-7i
46.41588833612777                                 0.999576401525072+2.0357706944441064E-6i
100                                               0.9995769162163158+4.1562146878683305E-6i
215.44346900318823                                0.9995783719292471+8.004661854470642E-6i
464.1588833612773                                 0.9995819798700172+1.4432408541206195E-5i
1000                                              0.9995899352750577+2.3658304373138045E-5i
2154.4346900318824                                0.9996045597910073+3.394871699523617E-5i
4641.588833612773                                 0.9996258890108486+4.157142266891674E-5i
10000                                             0.9996502634419965+4.369412316293584E-5i
21544.346900318822                                0.999672866167309+4.116837152428442E-5i
46415.888336127726                                0.9996909598761673+3.766244018869125E-5i
100000                                            0.999704266624885+3.786559819288958E-5i
215443.46900318822                                0.9997140608733188+4.7954323507789834E-5i
464158.8833612772                                 0.9997237744343976+7.864939831716961E-5i
1000000                                           0.9997454462411519+1.501047896841235E-4i
2154434.6900318777                                0.9998248542634266+2.876294494311133E-4i
4641588.833612773                                 1.0000729263171246+4.3875051446163346E-4i
10000000                                          1.000450224494163+3.49992753478532E-4i
2.154434690031878E7                               1.000610075391423+1.1089644215573692E-5i
4.641588833612773E7                               1.0004501721720287-3.084405347110221E-4i
100000000                                         1.0001128412139466-3.759874573315348E-4i
2.1544346900318778E8                              0.9999049611908742-2.3983030181041627E-4i
4.641588833612773E8                               0.9998411024219199-1.2071785257413797E-4i
1000000000                                        0.999825978182803-5.71083108144249E-5i
2.154434690031878E9                               0.9998226200148733-2.6634558234188634E-5i
4.641588833612773E9                               0.9998218811621197-1.2381458839091343E-5i
1.0E10                                            0.999821717677563-5.750834817865243E-6i
