% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 22 2024, 13:17
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.999002986008189+6.2927085071862225E-12i
0.021544346900318832                              0.9990029860081344+1.35572291783827E-11i
0.046415888336127774                              0.9990029860081516+2.920816474043099E-11i
0.1                                               0.999002986008132+6.292708326059307E-11i
0.21544346900318834                               0.9990029860081452+1.3557229111624177E-10i
0.46415888336127775                               0.9990029860081484+2.920816463665663E-10i
1                                                 0.999002986008172+6.292708328911565E-10i
2.154434690031882                                 0.9990029860081678+1.3557229096171222E-9i
4.6415888336127775                                0.9990029860081536+2.920816471020567E-9i
10                                                0.9990029860081858+6.292708325987213E-9i
21.54434690031882                                 0.9990029860082135+1.3557229094351551E-8i
46.41588833612777                                 0.9990029860085586+2.920816466212072E-8i
100                                               0.9990029860101666+6.292708313954857E-8i
215.44346900318823                                0.9990029860175117+1.3557229034288305E-7i
464.1588833612773                                 0.9990029860515027+2.9208164031477144E-7i
1000                                              0.9990029862095197+6.292707717360414E-7i
2154.4346900318824                                0.9990029869428+1.355722284678233E-6i
4641.588833612773                                 0.999002990346424+2.9208102078828293E-6i
10000                                             0.9990030061443277+6.292645724960644E-6i
21544.346900318822                                0.999003079468625+1.355660306723589E-5i
46415.888336127726                                0.9990034197426212+2.920190522736308E-5i
100000                                            0.9990049977023352+6.286453564528224E-5i
215443.46900318822                                0.999012290797133+1.3494899905390704E-4i
464158.8833612772                                 0.9990454848363339+2.859481434806076E-4i
1000000                                           0.9991866243085541+5.721637947678925E-4i
2154434.6900318777                                0.9996483107908858+9.230878533990811E-4i
4641588.833612773                                 1.000407995830966+8.854192787496123E-4i
10000000                                          1.0008629982241615+4.118159426604418E-4i
2.154434690031878E7                               1.0009045973416417-7.621520943903624E-5i
4.641588833612773E7                               1.0006315205955854-4.2998848028456805E-4i
100000000                                         1.0002126714696882-4.571673179824392E-4i
2.1544346900318778E8                              0.9999843529514536-2.76914319473105E-4i
4.641588833612773E8                               0.9999180153152823-1.3729199340091578E-4i
1000000000                                        0.9999026020582766-6.468789299483746E-5i
2.154434690031878E9                               0.9998992129700323-3.0129949916954197E-5i
4.641588833612773E9                               0.999898475719237-1.3997659076462712E-5i
1.0E10                                            0.9998983153474593-6.499054525859191E-6i
