% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 20 2024, 08:38
% Dimension:          2
% Nodes:              113
% Expressions:        3
% Description:        , , 
% Length unit:        m
% R                       Z                        U0 (V)                   Cp0 (mol/m^3)            Cn0 (mol/m^3)
1.0E-6                    0                        -0.1323632334839763      188.98035903074506       0.005287257170387421
1.0003334337562848E-6     0                        -0.12170372620468795     124.91173959379944       0.008095722933889504
1.0006668675125695E-6     0                        -0.11264495139758651     83.09095951002638        0.011441842200968048
1.0010003012688541E-6     0                        -0.10518690906455982     63.51801877180225        0.015325614973287225
1.0874684728040614E-6     0                        -9.297996488359967E-6    1.0003632672725506       0.9996318641803865
1.0936331346185229E-6     0                        -5.059749158499507E-6    1.0001958299047822       0.9997996561615126
1.0936331380794086E-6     0                        -5.059747230184852E-6    1.0001958298286358       0.9997996562378562
1.0962759494173612E-6     0                        -3.7349073324129065E-6   1.0001435273780461       0.9998521082728594
1.0720568096155225E-6     0                        -4.619859856352676E-5    1.001824808566705        0.9981721980797882
1.0771940282665102E-6     0                        -2.753532731959845E-5    1.001085188597148        0.9989102454270244
1.0823312491811104E-6     0                        -1.5235123895665792E-5   1.0005980080573473       0.9993968009018654
1.0592137569582144E-6     0                        -1.768587146943791E-4    1.007021265859491        0.9930209255821761
1.063494772837416E-6      0                        -1.1431012239862853E-4   1.0045306511495748       0.9954841834657667
1.0677757902842226E-6     0                        -7.075674375050157E-5    1.0027984984547709       0.9972012745575833
1.0485112130769857E-6     0                        -5.423600621921792E-4    1.0217069021443137       0.9787521847877229
1.0520787265487304E-6     0                        -3.75872953270543E-4     1.0149948189447737       0.9852300494052724
1.055646241100847E-6      0                        -2.5403915835983665E-4   1.0100996063435306       0.9899862968140082
1.0395924265091956E-6     0                        -0.0013808097970263286   1.0562205511283302       0.9467908240676658
1.0425653545714746E-6     0                        -0.0010154403149321358   1.0410573443050086       0.9606056526748443
1.0425653553651362E-6     0                        -0.0010154402288562374   1.0410573407453574       0.9606056559409522
1.0455382833743924E-6     0                        -7.359570512091269E-4    1.0295527938364994       0.9712594402659424
1.0321601043693004E-6     0                        -0.00300964614300263     1.1266591865073021       0.8876540152350567
1.0346375445405305E-6     0                        -0.0023269685733881065   1.0966436031757312       0.9120287194186455
1.0371149852164474E-6     0                        -0.0017840231011993337   1.0731640569194028       0.9317409897900272
1.0259665025860037E-6     0                        -0.005764831937938       1.2567006059573806       0.7959102881769607
1.0280310361459985E-6     0                        -0.00464835084114136     1.2024515002226095       0.8320010362437733
1.0300955700474693E-6     0                        -0.0037299555511971384   1.1591043589387138       0.8625822792255516
1.0208051677665545E-6     0                        -0.00992321096690675     1.4819889692625936       0.6750756856630572
1.0225256124588438E-6     0                        -0.008285428405607712    1.3891766423068643       0.7204951676592433
1.0242460573802026E-6     0                        -0.006899302039805977    1.314080519354072        0.7607733688331322
1.0165040554603733E-6     0                        -0.01564905331491342     1.8597564303936585       0.538119720526339
1.0179377595806831E-6     0                        -0.01344565764792434     1.704924918133472        0.5874218923625256
1.0193714634721436E-6     0                        -0.011537043794252362    1.5790024478098097       0.6330738742566557
1.0129197951595992E-6     0                        -0.022991474919275303    2.4882184838587307       0.4023364874401206
1.0141145485931907E-6     0                        -0.020216170441201577    2.2304432441165214       0.449327078706273
1.015309302026782E-6      0                        -0.017768696572984185    2.020955892971552        0.4945881564012635
1.0099329115756208E-6     0                        -0.03192972416341093     3.5460273852462705       0.282373408687464
1.010928539436947E-6      0                        -0.02859396000062341     3.109758518921451        0.32247762900239324
1.011924167298273E-6      0                        -0.025614543585815986    2.7571555518089976       0.3624653219180174
1.0074438419223054E-6     0                        -0.042444299152352954    5.377930593631828        0.18615918692141145
1.0082735318067438E-6     0                        -0.03855053777941768     4.614988437831369        0.21738477742215703
1.0091032216911824E-6     0                        -0.0350456794496734      4.004354035061629        0.2494561846753102
1.0053696172112093E-6     0                        -0.054596378413616406    8.698726745336623        0.11498740678038033
1.0060610254482413E-6     0                        -0.05010938337899573     7.295540294716883        0.13750216461413595
1.0067524336852733E-6     0                        -0.04605869029180286     6.188608244177634        0.16122609132605917
1.0036410966186293E-6     0                        -0.06862074445555505     15.13887219077424        0.06590579790842194
1.0042172701494893E-6     0                        -0.06343181066908077     12.360649421675248       0.0810731967069148
1.0047934436803493E-6     0                        -0.05875702198829695     10.213934273165203       0.0974337329964285
1.0022006627914792E-6     0                        -0.08507581993485419     28.945011536609595       0.03425111186173737
1.0026808074005294E-6     0                        -0.07893874123605868     22.80657405910931        0.043798463277842314
1.0031609520095793E-6     0                        -0.07345371607607303     18.204527609951025       0.05435002529273416
1.001400421776396E-6      0                        -0.09756017937885927     47.428699957328774       0.020861659763774444
1.0018005422839375E-6     0                        -0.09085648300180797     35.90436420723077        0.027170158726227994
9.994999999999984E-7      0                        -0.1460261918726473      322.790711852789         0.00306231817899115
9.996666666666659E-7      0                        -0.14240011581127374     279.3870688836374        0.0035185654535561817
9.998333333333327E-7      0                        -0.13784579634840075     234.783617943123         0.004260211784018734
9.904999999999978E-7      0                        -0.15759251504467156     513.0163783297638        0.0019449175341780544
9.906666666666646E-7      0                        -0.1575925001151745      513.0162645148073        0.0019449203800723852
9.90833333333331E-7       0                        -0.1575924809708391      513.0161580236459        0.0019449243899407266
9.909999999999978E-7      0                        -0.15759245761166565     513.0160588562796        0.0019449295637830823
9.9E-7                    0                        -0.15759251831186855     NaN                      NaN
9.90166666666666E-7       0                        -0.15759252053581094     513.0166630926136        0.0019449187306627685
