% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 24 2024, 10:46
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.999410912897123+2.4603367245183834E-10i
0.021544346900318832                              0.9994109128971799+5.300634707842824E-10i
0.046415888336127774                              0.9994109128973114+1.1419870484783924E-9i
0.1                                               0.9994109128978086+2.460335704554892E-9i
0.21544346900318834                               0.9994109129001701+5.300624509850334E-9i
0.46415888336127775                               0.9994109129111356+1.1419768541463407E-8i
1                                                 0.9994109129620639+2.460233920507243E-8i
2.154434690031882                                 0.9994109131978656+5.29961397821473E-8i
4.6415888336127775                                0.9994109142788715+1.1409985163800295E-7i
10                                                0.999410919065365+2.4516486133360267E-7i
21.54434690031882                                 0.9994109388637071+5.240384138767846E-7i
46.41588833612777                                 0.9994110179408919+1.1066983252711233E-6i
100                                               0.9994113011169048+2.2552810972468006E-6i
215.44346900318823                                0.9994121019295098+4.336084809216813E-6i
464.1588833612773                                 0.999414088465381+7.791441296694877E-6i
1000                                              0.9994184545374919+1.2679850745191608E-5i
2154.4346900318824                                0.9994263921923346+1.7952843439865534E-5i
4641.588833612773                                 0.9994377335218304+2.153915316023639E-5i
10000                                             0.9994503553325274+2.203421358604968E-5i
21544.346900318822                                0.9994617678067834+1.9998812950439805E-5i
46415.888336127726                                0.9994707354507624+1.7162463548038756E-5i
100000                                            0.9994772381601572+1.5304285113754476E-5i
215443.46900318822                                0.9994818084771693+1.624059353637344E-5i
464158.8833612772                                 0.9994852877161688+2.2753743715549086E-5i
1000000                                           0.999489634346263+4.030125396027051E-5i
2154434.6900318777                                0.9995020125530605+7.908481990626914E-5i
4641588.833612773                                 0.9995481036277615+1.4839228578272435E-4i
10000000                                          0.9996721203204763+2.0895775498584496E-4i
2.154434690031878E7                               0.9998177457116303+1.7221898621266592E-4i
4.641588833612773E7                               0.9998840596732751+9.416716570371294E-5i
100000000                                         0.999900249259518+4.332228046213827E-5i
2.1544346900318778E8                              0.9999017887135168+1.8433697699285774E-5i
4.641588833612773E8                               0.9999008848935564+7.87042877712176E-6i
1000000000                                        0.9999004045268484+3.4980664177721443E-6i
2.154434690031878E9                               0.9999002486557879+1.5880119240353896E-6i
4.641588833612773E9                               0.9999002012701563+7.274655791001044E-7i
1.0E10                                            0.9999001870092966+3.348383253323414E-7i
