% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 24 2024, 09:30
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9993446589764637+1.8348345203461368E-10i
0.021544346900318832                              0.9993446589764425+3.9530310577683783E-10i
0.046415888336127774                              0.9993446589765225+8.516546411296758E-10i
0.1                                               0.9993446589769387+1.8348334724634308E-9i
0.21544346900318834                               0.9993446589789292+3.953020582755219E-9i
0.46415888336127775                               0.9993446589880941+8.51644170364417E-9i
1                                                 0.999344659030319+1.8347289435263277E-8i
2.154434690031882                                 0.9993446592259728+3.951983525528132E-8i
4.6415888336127775                                0.9993446601192136+8.506433679944654E-8i
10                                                0.9993446640100621+1.826068576709091E-7i
21.54434690031882                                 0.9993446794601382+3.895188313662717E-7i
46.41588833612777                                 0.9993447389069974+8.210947206790631E-7i
100                                               0.9993449498175192+1.6718526249090725E-6i
215.44346900318823                                0.9993455460097894+3.2123310998329383E-6i
464.1588833612773                                 0.9993470250124814+5.765458183186471E-6i
1000                                              0.9993502700044447+9.360064861274458E-6i
2154.4346900318824                                0.9993561401052556+1.3198294384989626E-5i
4641.588833612773                                 0.9993644536797536+1.575935199302253E-5i
10000                                             0.9993736029492015+1.609329661606656E-5i
21544.346900318822                                0.9993817859341761+1.4742159010247898E-5i
46415.888336127726                                0.9993881603125684+1.3125411238599474E-5i
100000                                            0.9993927600220218+1.2816739089426124E-5i
215443.46900318822                                0.9993960257065736+1.575431884336571E-5i
464158.8833612772                                 0.9993987578466857+2.5320311913891242E-5i
1000000                                           0.9994032540699919+4.833942249301079E-5i
2154434.6900318777                                0.999418573199768+9.745235605467504E-5i
4641588.833612773                                 0.9994771786675704+1.8312001854559962E-4i
10000000                                          0.9996313420426954+2.532515973817981E-4i
2.154434690031878E7                               0.999804632440211+2.035393402732887E-4i
4.641588833612773E7                               0.9998799561869035+1.0952927668075714E-4i
100000000                                         0.9998974407830427+5.0985852297172515E-5i
2.1544346900318778E8                              0.9999002086413289+2.312071992674634E-5i
4.641588833612773E8                               0.9999004361678282+1.0476868527405395E-5i
1000000000                                        0.9999003378161877+4.752862159322733E-6i
2.154434690031878E9                               0.9999002544885528+2.1602897208559982E-6i
4.641588833612773E9                               0.9999002113258231+9.846348083250164E-7i
1.0E10                                            0.9999001924570181+4.50307891838339E-7i
