% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               May 8 2024, 10:17
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9991714261601381+9.518748704369757E-10i
0.021544346900318832                              0.9991714261622375+2.0507470358095314E-9i
0.046415888336127774                              0.9991714261703318+4.418148443822048E-9i
0.1                                               0.9991714262098668+9.518091501371464E-9i
0.21544346900318834                               0.9991714263925403+2.0500906421574577E-8i
0.46415888336127775                               0.9991714272376403+4.4116217007374364E-8i
1                                                 0.9991714310786936+9.454485500536007E-8i
2.154434690031882                                 0.9991714473772634+1.9930699928300644E-7i
4.6415888336127775                                0.999171504160134+4.015544643150597E-7i
10                                                0.9991716586705285+7.588828874409191E-7i
21.54434690031882                                 0.9991720296376821+1.3308547983316852E-6i
46.41588833612777                                 0.9991728108901209+2.090134703547977E-6i
100                                               0.9991741461510107+2.8164159165339086E-6i
215.44346900318823                                0.9991759078909188+3.1880100063164535E-6i
464.1588833612773                                 0.9991777153795428+3.084090996387655E-6i
1000                                              0.9991792471675958+2.671629944741291E-6i
2154.4346900318824                                0.999180402921903+2.2028162308947833E-6i
4641.588833612773                                 0.9991812245993834+1.8784379539956915E-6i
10000                                             0.999181792997001+1.874985840272248E-6i
21544.346900318822                                0.9991821824383271+2.4583392815059717E-6i
46415.888336127726                                0.9991824557467857+4.1758245884117086E-6i
100000                                            0.9991826894465615+8.218302539542762E-6i
215443.46900318822                                0.9991830877170174+1.717215949313323E-5i
464158.8833612772                                 0.999184494131767+3.658737866319849E-5i
1000000                                           0.9991906997555041+7.798601919870978E-5i
2154434.6900318777                                0.9992181298932054+1.6191768771394035E-4i
4641588.833612773                                 0.9993234688748918+2.9931129195476816E-4i
10000000                                          0.9995765487078604+3.8871815162906724E-4i
2.154434690031878E7                               0.9998255506939381+2.9405182550440727E-4i
4.641588833612773E7                               0.9999264627578947+1.5722904106118217E-4i
100000000                                         0.9999518614350223+7.459108705734223E-5i
2.1544346900318778E8                              0.999956679645721+3.409193495556072E-5i
4.641588833612773E8                               0.9999571947553714+1.5557800097300547E-5i
1000000000                                        0.9999571946886439+7.167131667164367E-6i
2.154434690031878E9                               0.9999571796131004+3.3166760908578036E-6i
4.641588833612773E9                               0.9999571732205722+1.5370997414371277E-6i
1.0E10                                            0.9999571708915946+7.127667510952595E-7i
