% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               May 8 2024, 10:12
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9992639194452857+8.162256049302368E-10i
0.021544346900318832                              0.9992639194458671+1.758504166542852E-9i
0.046415888336127774                              0.9992639194484049+3.788576461681416E-9i
0.1                                               0.9992639194605787+8.162181405706083E-9i
0.21544346900318834                               0.9992639195172817+1.7584295392666093E-8i
0.46415888336127775                               0.999263919779841+3.787830762927512E-8i
1                                                 0.9992639209951798+8.154750596238383E-8i
2.154434690031882                                 0.9992639265607068+1.7511175274461776E-7i
4.6415888336127775                                0.9992639509180701+3.7197017935432884E-7i
10                                                0.9992640423775984+7.630751867936281E-7i
21.54434690031882                                 0.9992643070394144+1.475414334368604E-6i
46.41588833612777                                 0.9992649683908792+2.6710784892996505E-6i
100                                               0.9992664481554107+4.3952506949840026E-6i
215.44346900318823                                0.9992691997952405+6.297551918845213E-6i
464.1588833612773                                 0.9992732087625612+7.621151406586465E-6i
1000                                              0.9992777224573728+7.80965115897849E-6i
2154.4346900318824                                0.9992818194734201+7.0264431937319835E-6i
4641.588833612773                                 0.9992850411607223+5.857086722637033E-6i
10000                                             0.999287381022769+4.843814532605939E-6i
21544.346900318822                                0.9992890155230408+4.40619508797236E-6i
46415.888336127726                                0.9992901401847853+5.03924987714004E-6i
100000                                            0.9992909344659158+7.673564156207423E-6i
215443.46900318822                                0.9992916400549778+1.4311545426640592E-5i
464158.8833612772                                 0.9992929471655204+2.9288078715583505E-5i
1000000                                           0.9992977332113343+6.168122294534443E-5i
2154434.6900318777                                0.9993183947296913+1.280379841578208E-4i
4641588.833612773                                 0.9993988589860435+2.3967293205547202E-4i
10000000                                          0.9996014042175416+3.216311879477609E-4i
2.154434690031878E7                               0.9998143882901066+2.5132210230994725E-4i
4.641588833612773E7                               0.9999046491630732+1.3575982840559388E-4i
100000000                                         0.9999273528822711+6.397662091258448E-5i
2.1544346900318778E8                              0.9999310825873263+2.8704024277882942E-5i
4.641588833612773E8                               0.9999310633522193+1.2892190478033148E-5i
1000000000                                        0.9999308863202907+5.898113560715657E-6i
2.154434690031878E9                               0.9999308246837905+2.7218750336930145E-6i
4.641588833612773E9                               0.9999308064806877+1.2596874522968035E-6i
1.0E10                                            0.9999308010924032+5.836363286425167E-7i
