% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               May 8 2024, 10:14
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9992077621809116+8.960404945061367E-10i
0.021544346900318832                              0.9992077621816864+1.930458699683579E-9i
0.046415888336127774                              0.9992077621869933+4.159026928394576E-9i
0.1                                               0.9992077622105373+8.960149314082136E-9i
0.21544346900318834                               0.999207762321432+1.930203204742146E-8i
0.46415888336127775                               0.9992077628330385+4.156477905024755E-8i
1                                                 0.9992077651866873+8.934932379397486E-8i
2.154434690031882                                 0.9992077756807936+1.9061714956021007E-7i
4.6415888336127775                                0.9992078173779274+3.9578239952301154E-7i
10                                                0.9992079464496931+7.767343834858283E-7i
21.54434690031882                                 0.9992082760122513+1.4289174302818563E-6i
46.41588833612777                                 0.9992090352605435+2.411586053225777E-6i
100                                               0.9992105188334103+3.5778794558536286E-6i
215.44346900318823                                0.999212810752425+4.499490173231285E-6i
464.1588833612773                                 0.9992155349460558+4.767271706616424E-6i
1000                                              0.9992181056384088+4.388587276564473E-6i
2154.4346900318824                                0.9992201723121978+3.6993225216717075E-6i
4641.588833612773                                 0.9992216894284376+3.050827352825423E-6i
10000                                             0.999222754228957+2.711728771629131E-6i
21544.346900318822                                0.9992234871532542+2.967778847500027E-6i
46415.888336127726                                0.9992239929647244+4.325678479359402E-6i
100000                                            0.9992243770472463+7.867887214819111E-6i
215443.46900318822                                0.9992248482835078+1.595035118571106E-5i
464158.8833612772                                 0.9992261811158515+3.364665553326562E-5i
1000000                                           0.9992317937169789+7.152008656578776E-5i
2154434.6900318777                                0.9992564893380643+1.485695365053051E-4i
4641588.833612773                                 0.9993519055992693+2.7603476421996295E-4i
10000000                                          0.9995853394885033+3.630652238175771E-4i
2.154434690031878E7                               0.9998209211139004+2.780398502670095E-4i
4.641588833612773E7                               0.9999180141093882+1.4924185823192104E-4i
100000000                                         0.9999424500924604+7.064059064823896E-5i
2.1544346900318778E8                              0.9999468643140891+3.2079662488222405E-5i
4.641588833612773E8                               0.9999471754227898+1.4559504960005375E-5i
1000000000                                        0.9999471071907298+6.691350672716381E-6i
2.154434690031878E9                               0.9999470741273746+3.093583484264236E-6i
4.641588833612773E9                               0.9999470631686015+1.433034223294175E-6i
1.0E10                                            0.99994705965813+6.643219020613879E-7i
