% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 19 2024, 12:11
% Dimension:          2
% Nodes:              98
% Expressions:        3
% Description:        , , 
% Length unit:        m
% R                       Z                        U0 (V)                   Cp0 (mol/m^3)            Cn0 (mol/m^3)
1.088087905751467E-6      0                        -1.0140056479575587E-5   1.0003476410944538       0.9995981371840893
1.0962759494173612E-6     0                        -5.8736057639344914E-6   1.0001845231829276       0.9997671414451083
1.0738689769162755E-6     0                        -4.2361683094431026E-5   1.0016152762339843       0.9983278058408326
1.0796691367601236E-6     0                        -1.79504703267393E-5     1.0006499408486498       0.9992892838313374
1.0815100691959093E-6     0                        -1.3448369787959159E-5   1.000472677397944        0.9994667510203679
1.0711451814259245E-6     0                        -5.806685355341761E-5    1.002235425050021        0.9977074780819291
1.069920330389262E-6      0                        -6.613429198828801E-5    1.00255418407014         0.9973888650295464
1.0623882407290428E-6     0                        -1.2945059359445224E-4   1.0050583214812292       0.9948887132599381
1.0459522761594534E-6     0                        -7.113629099542259E-4    1.02845109308907         0.9722136072427277
1.0459522909237241E-6     0                        -7.113619405981329E-4    1.0284510538667717       0.9722136447796297
1.0514309310644606E-6     0                        -4.078261892461676E-4    1.0161872590555063       0.9839856650738465
1.0522900818382098E-6     0                        -3.701643805449186E-4    1.0146691810897597       0.9854495316632925
1.0569095858967518E-6     0                        -2.138554199551809E-4    1.008389668635324        0.9915440336398272
1.0586278897481539E-6     0                        -1.7558997307450577E-4   1.006864117232519        0.9930465830913572
1.0E-6                    0                        -0.13284050787001248     188.41117609464717       0.00508341912925268
1.0006420330290821E-6     0                        -0.11442316920535477     93.45265238398758        0.010996611176894239
1.0012840660581643E-6     0                        -0.10008555810364278     42.32624341727921        0.01872017729901318
1.0019260990872465E-6     0                        -0.08982767456471288     35.031949116521695       0.028254117504124154
1.0338662900597131E-6     0                        -0.0025362302287040323   1.1056341847827815       0.9044487577313782
1.0378949511301825E-6     0                        -0.0016792898658264273   1.0688065295909588       0.9357717683898986
1.0419236130652058E-6     0                        -0.0010710007116256659   1.0430788301846132       0.9583600532140837
1.02456937767518E-6       0                        -0.00672432531940277     1.3056567004707675       0.7662280303634948
1.0276683479243855E-6     0                        -0.004880339848706566    1.2140186257726084       0.8246693183753881
1.0307673186599439E-6     0                        -0.00348430809495603     1.1473444504929358       0.8707428955863046
1.0174179066558802E-6     0                        -0.014296534948457389    1.7641159267008264       0.5676844849978601
1.0198017299959513E-6     0                        -0.011135027670729849    1.557667219411133        0.6442032599027758
1.0221855536486919E-6     0                        -0.008610957723691581    1.4048474708631349       0.7103844426147959
1.011916775052795E-6      0                        -0.025816991269759535    2.7886356210900938       0.35964615913724196
1.0137504855871567E-6     0                        -0.02118676804371444     2.3252858069342306       0.43301368451508754
1.0155841961215184E-6     0                        -0.017346615936286797    1.9837792421696685       0.5023597931348529
1.007685135358114E-6      0                        -0.04155393794203706     5.208990956683713        0.19272605248550978
