% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 20 2024, 11:37
% Dimension:          2
% Nodes:              84
% Expressions:        3
% Description:        , , 
% Length unit:        m
% R                       Z                        U0 (V)                   Cp0 (mol/m^3)            Cn0 (mol/m^3)
1.0749234174787756E-6     0                        -3.71175859421394E-5     1.0014625526408187       0.9985304003157984
1.0825647836979419E-6     0                        -2.1491661635723133E-5   1.0008443024725548       0.9991491593149535
1.0869232065975022E-6     0                        -1.354347558522458E-5    1.0005296843495128       0.9994636413652587
1.0925056839744374E-6     0                        -5.912056736515813E-6    1.0002276941291897       0.9997656102131426
1.0962759494173612E-6     0                        -2.3776629600512527E-6   1.0000879067609212       0.9999054803123294
1.0668718229074952E-6     0                        -6.907725974373674E-5    1.002725104895148        0.9972624903467127
1.0669425807402416E-6     0                        -6.835176643560324E-5    1.0026960759547379       0.9972909245268081
1.0669816099944158E-6     0                        -6.795496596918689E-5    1.0026801999827664       0.9973064773056471
1.0588490097809558E-6     0                        -1.9620863353232763E-4   1.0077966619476098       0.9922659199750496
1.0535097452508605E-6     0                        -3.350876018794392E-4    1.013349832201878        0.9868199012328341
1.05075443038304E-6       0                        -4.237219348612524E-4    1.0168964075710814       0.9833465174642718
1.038117984519134E-6      0                        -0.001597811721402365    1.0652819978175945       0.9386310643393512
1.0381179887966244E-6     0                        -0.0015978110572256884   1.0652819700591052       0.938631089263875
1.0423301332145031E-6     0                        -0.001035969314150169    1.0418899837986002       0.9598131904352107
1.043850420769758E-6      0                        -8.750535751265245E-4    1.0352310308805055       0.9659168163920616
1.0465422817987716E-6     0                        -6.446060600112718E-4    1.0257614540591997       0.9747183411874766
1.0495828584130543E-6     0                        -4.680446198662712E-4    1.0186329658174451       0.9815768076209502
1.0E-6                    0                        -0.132333494892381       189.06795692108346       0.005295574722972745
1.0003210165145414E-6     0                        -0.12202354584922574     126.60466490067658       0.007989826439403115
1.0006420330290821E-6     0                        -0.11322140834512308     85.39713142479205        0.01118306597594639
1.0009630495436233E-6     0                        -0.1059270823819388      65.44535648838827        0.014875293334197274
