% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 24 2024, 10:00
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              1.000216190052747+1.8253786176078907E-9i
0.021544346900318832                              1.0002161900528823+3.932659000488933E-9i
0.046415888336127774                              1.000216190053533+8.472656818120762E-9i
0.1                                               1.0002161900563238+1.8253784200196326E-8i
0.21544346900318834                               1.0002161900694468+3.93265702427859E-8i
0.46415888336127775                               1.000216190130622+8.472637053731334E-8i
1                                                 1.0002161904142481+1.8253586577828373E-7i
2.154434690031882                                 1.0002161917304566+3.932459497442167E-7i
4.6415888336127775                                1.0002161978339514+8.470666061919958E-7i
10                                                1.0002162260451066+1.8234051491230353E-6i
21.54434690031882                                 1.000216354684167+3.913499428319044E-6i
46.41588833612777                                 1.0002169103482215+8.298132798811653E-6i
100                                               1.0002189295584947+1.696608150988205E-5i
215.44346900318823                                1.000224593009945+3.281431313173647E-5i
464.1588833612773                                 1.000238543757931+5.980117163621572E-5i
1000                                              1.0002695871958465+1.0040536746976487E-4i
2154.4346900318824                                1.0003289400987418+1.5066026055641306E-4i
4641.588833612773                                 1.000422719944937+1.9702762478535354E-4i
10000                                             1.0005429055674664+2.2241388533993415E-4i
21544.346900318822                                1.0006692414632214+2.1889824260416964E-4i
46415.888336127726                                1.0007822358144804+1.9200892104459267E-4i
100000                                            1.000872255479821+1.5310370939833668E-4i
215443.46900318822                                1.0009386865393077+1.1082443249726147E-4i
464158.8833612772                                 1.000985089146105+6.762159490009218E-5i
1000000                                           1.0010153242206121+1.900399602526914E-5i
2154434.6900318777                                1.001030067567521-4.8322117260872876E-5i
4641588.833612773                                 1.0010178138863206-1.6047180363143126E-4i
10000000                                          1.0009251241252752-3.4772317173064775E-4i
2.154434690031878E7                               1.0006351092261538-5.450323666384898E-4i
4.641588833612773E7                               1.0002216722544803-5.085358590106768E-4i
100000000                                         0.9999930888526-3.022474320202711E-4i
2.1544346900318778E8                              0.9999257704642752-1.4988494954377155E-4i
4.641588833612773E8                               0.9999097505103128-7.142825675161457E-5i
1000000000                                        0.9999056246063751-3.4578735478956946E-5i
2.154434690031878E9                               0.999903489499826-1.770886220091327E-5i
4.641588833612773E9                               0.9999015687284221-9.281228377866565E-6i
1.0E10                                            0.9999005752089115-4.592497352498819E-6i
