% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               May 8 2024, 10:19
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9990914461629647+1.0771864036146217E-9i
0.021544346900318832                              0.9990914461717406+2.320635801540628E-9i
0.046415888336127774                              0.999091446209526+4.998739548833345E-9i
0.1                                               0.9990914463856081+1.0760317520917226E-8i
0.21544346900318834                               0.9990914471900879+2.3093101786661947E-8i
0.46415888336127775                               0.9990914506814886+4.894576070036321E-8i
1                                                 0.99909146353759+9.986745843746526E-8i
2.154434690031882                                 0.9990915005869028+1.9147479867311868E-7i
4.6415888336127775                                0.999091592388398+3.3973418074607176E-7i
10                                                0.9990917878614739+5.410873662990764E-7i
21.54434690031882                                 0.9990921309912577+7.455122108630334E-7i
46.41588833612777                                 0.9990926014001655+8.64472812903192E-7i
100                                               0.9990930998442215+8.520931940160335E-7i
215.44346900318823                                0.9990935305810815+7.462341260225355E-7i
464.1588833612773                                 0.9990938585814905+6.171516508409023E-7i
1000                                              0.9990940926765798+5.227067305754448E-7i
2154.4346900318824                                0.9990942549741604+5.114551210666033E-7i
4641.588833612773                                 0.999094366148479+6.524442341148974E-7i
10000                                             0.9990944422532737+1.0855925017157382E-6i
21544.346900318822                                0.9990944964892335+2.1149378881644117E-6i
46415.888336127726                                0.9990945465887673+4.402305758010202E-6i
100000                                            0.9990946450877434+9.379551252986144E-6i
215443.46900318822                                0.9990950159770801+2.0131215733238115E-5i
464158.8833612772                                 0.9990966821011693+4.324776556557495E-5i
1000000                                           0.9991043077423509+9.234596582545268E-5i
2154434.6900318777                                0.9991380330696534+1.912769196053926E-4i
4641588.833612773                                 0.9992657136563303+3.4959373046158693E-4i
10000000                                          0.999560835070814+4.4198245896553224E-4i
2.154434690031878E7                               0.9998363110406274+3.260865297713316E-4i
4.641588833612773E7                               0.9999442291514206+1.7300939949724907E-4i
100000000                                         0.9999713880505251+8.240804900644247E-5i
2.1544346900318778E8                              0.9999770064041895+3.8102442615327035E-5i
4.641588833612773E8                               0.9999779468192044+1.7558385718285223E-5i
1000000000                                        0.9999780910933194+8.122641330801373E-6i
2.154434690031878E9                               0.9999781142467855+3.7650185890931647E-6i
4.641588833612773E9                               0.9999781175411099+1.7462961110512367E-6i
1.0E10                                            0.9999781177212497+8.101771462256169E-7i
