% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               May 8 2024, 10:06
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9995762186949604+4.480037179406613E-10i
0.021544346900318832                              0.9995762186950391+9.65194746748294E-10i
0.046415888336127774                              0.9995762186952104+2.079449000667086E-9i
0.1                                               0.999576218695945+4.480036620361502E-9i
0.21544346900318834                               0.9995762186993205+9.651941877576094E-9i
0.46415888336127775                               0.9995762187152379+2.0794434110134013E-8i
1                                                 0.9995762187890787+4.4799807294032286E-8i
2.154434690031882                                 0.9995762191315721+9.651383309030417E-8i
4.6415888336127775                                0.9995762207193567+2.0788863998341238E-7i
10                                                0.9995762280481401+4.474478888153599E-7i
21.54434690031882                                 0.9995762612916308+9.598902806553538E-7i
46.41588833612777                                 0.9995764035331128+2.033063688353922E-6i
100                                               0.9995769190676079+4.148170638389389E-6i
215.44346900318823                                0.9995783754117903+7.98570580632279E-6i
464.1588833612773                                 0.9995819848791978+1.4390283885418312E-5i
1000                                              0.9995899453221609+2.3564864290542042E-5i
2154.4346900318824                                0.9996045847575897+3.3738015836422297E-5i
4641.588833612773                                 0.9996259509726848+4.10874973004753E-5i
10000                                             0.9996504011386181+4.257434513670374E-5i
21544.346900318822                                0.999673133612318+3.859415107791588E-5i
46415.888336127726                                0.9996914104919382+3.1826227111011803E-5i
100000                                            0.9997048713075022+2.4821718630748186E-5i
215443.46900318822                                0.9997143037295056+1.9153537236540374E-5i
464158.8833612772                                 0.9997207501319063+1.5806347279336148E-5i
1000000                                           0.9997253335675105+1.5948845816991652E-5i
2154434.6900318777                                0.9997300141671102+2.1705562465089407E-5i
4641588.833612773                                 0.9997404257255568+3.55798460620283E-5i
10000000                                          0.9997680671242047+5.0960578021865106E-5i
2.154434690031878E7                               0.9998054585927959+4.4620265376110155E-5i
4.641588833612773E7                               0.9998242915843196+2.3708018219067884E-5i
100000000                                         0.999827586423604+8.377237055797455E-6i
2.1544346900318778E8                              0.9998252219776591+1.182926538471912E-6i
4.641588833612773E8                               0.9998228773270033-4.4243583454664945E-7i
1000000000                                        0.999821997716373-3.971118195286128E-7i
2.154434690031878E9                               0.9998217567658523-2.196427824164951E-7i
4.641588833612773E9                               0.9998216937506711-1.1030401163135334E-7i
1.0E10                                            0.9998216768323943-5.359219739192663E-8i
