% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 20 2024, 10:51
% Dimension:          2
% Nodes:              86
% Expressions:        3
% Description:        , , 
% Length unit:        m
% R                       Z                        U0 (V)                   Cp0 (mol/m^3)            Cn0 (mol/m^3)
1.0749234174787756E-6     0                        -4.336802112534536E-5    1.0015519385417666       0.9982829796227459
1.0825647836979419E-6     0                        -2.5717351257985322E-5   1.000871730713962        0.9989818833822266
1.0869232065975022E-6     0                        -1.6731483203051766E-5   1.00052587402026         0.9993373747087885
1.0925056839744374E-6     0                        -8.082751220576166E-6    1.000194733577069        0.9996795558283109
1.0962759494173612E-6     0                        -4.059412255842911E-6    1.0000421605385597       0.9998387595339365
1.0668718229074952E-6     0                        -7.937252036661435E-5    1.002944605466084        0.9968543847475566
1.0669425807402416E-6     0                        -7.855953973581818E-5    1.002912368643127        0.996886209240692
1.0669816099944158E-6     0                        -7.81148763315557E-5     1.002894738902451        0.9969036170691618
1.0588490097809558E-6     0                        -2.2150840746005886E-4   1.008587705712036        0.9912734962038753
1.0535097452508605E-6     0                        -3.766364385438261E-4    1.0147734848867027       0.9851977739654806
1.05075443038304E-6       0                        -4.75614097657569E-4     1.0187253709857356       0.9813241449009344
1.038117984519134E-6      0                        -0.001780846884017945    1.0730819995006968       0.9318445903202781
1.0381179887966244E-6     0                        -0.00178084614322891     1.0730819683795716       0.9318446179449122
1.0423301332145031E-6     0                        -0.0011567405904696795   1.0467510082930922       0.9552363381070134
1.043850420769758E-6      0                        -9.779077581887673E-4    1.0392642759831567       0.9619848193686553
1.0465422817987716E-6     0                        -7.216630050079865E-4    1.0286321324596837       0.9717295226088322
1.0495828584130543E-6     0                        -5.250739679951903E-4    1.0206564406227274       0.9793480274014164
1.0E-6                    0                        -0.19210934749010727     1887.1777302700896       4.608657599810731E-4
1.0003210165145414E-6     0                        -0.1659371606605486      690.7821192334823        0.0014580286701396166
1.0006420330290821E-6     0                        -0.1466978163386131      131.12072112024936       0.0028643672022040773
1.0009630495436233E-6     0                        -0.13439131451945677     208.19353419644486       0.004679881359745533
1.0309624458151815E-6     0                        -0.0037852503686349017   1.163217592041298        0.8608016862105633
1.0333476248801361E-6     0                        -0.0029540922751833203   1.125035249958654        0.8896616890973054
1.0333476253831725E-6     0                        -0.002954092117082234    1.125035242764029        0.8896616946377751
1.0357328044133846E-6     0                        -0.0022859577542763015   1.0949900511018495       0.9133426579243998
1.0249994968951745E-6     0                        -0.007068908446544806    1.3281454896993172       0.7558791469974611
1.0269871461939666E-6     0                        -0.005747881685888158    1.2593292487638683       0.7966096510328828
1.0289747958095462E-6     0                        -0.004653328966219766    1.2043532810870954       0.8315838313678677
1.0200303727951355E-6     0                        -0.011912956582666523    1.6162494460021464       0.6239680683528683
1.02168674726554E-6       0                        -0.010015624359587196    1.4970870775965688       0.6728743698977661
1.023343121948416E-6      0                        -0.008400941623372724    1.4010524231549726       0.7168447297019298
1.0158894360868428E-6     0                        -0.01847685991929722     2.109959252208125        0.48114468163816754
1.0172697483405068E-6     0                        -0.015960108597633842    1.9060778882714156       0.5318432205408654
1.0186500605941707E-6     0                        -0.013772140796944578    1.7415079515086056       0.5794510166581012
1.012438655452683E-6      0                        -0.026823181527975595    2.9609132682569124       0.34568714483838375
1.0135889156640696E-6     0                        -0.023672435838259127    2.6078974753671686       0.39191332933639783
1.0147391758754561E-6     0                        -0.02089032863519139     2.324246136728674        0.43706584160065837
1.0095630049242164E-6     0                        -0.03698957652464035     4.468775739171112        0.23103897454629913
1.010521555100372E-6      0                        -0.03318916592852597     3.8368790940117976       0.2688306238735293
1.0114801052765274E-6     0                        -0.02980036759616432     3.33425827045377         0.30704668063394563
1.0071666294838276E-6     0                        -0.04908933984901123     7.277624582625612        0.1429726779591798
1.0079654212972905E-6     0                        -0.04458443050308287     6.081337616477847        0.17112839537291177
1.0087642131107534E-6     0                        -0.04055117606152299     5.145054668813083        0.20048382756542807
1.0051696499501703E-6     0                        -0.06344237582231048     12.936270551770034       0.08086029401863397
1.0058353097947228E-6     0                        -0.058087553668331245    10.467075405028027       0.10016091544542964
1.0065009696392753E-6     0                        -0.05330320834382499     8.580860082297038        0.12086504342346494
1.003505500338789E-6      0                        -0.08079913865036412     25.81921222076099        0.04053683325980369
1.0040602168759163E-6     0                        -0.07426140661011038     19.985594087515597       0.05269417157188624
1.0046149334130433E-6     0                        -0.06847581900069145     15.691280198512029       0.06613532515692917
