% Model:              BrushLayer.mph
% Version:            COMSOL 6.0.0.405
% Date:               May 16 2024, 14:24
% Dimension:          2
% Nodes:              115
% Expressions:        3
% Description:        , , 
% Length unit:        m
% R                       Z                        U0 (V)                   Cp0 (mol/m^3)            Cn0 (mol/m^3)
1.0943522136753858E-6     0                        -3.345540112942804E-6    1.0001324363413469       0.9998674806466825
1.0962759494173612E-6     0                        -2.908591917359654E-6    1.0001151327363706       0.9998847832036548
1.0722265684989982E-6     0                        -3.5901254165128736E-5   1.0014233030580009       0.9985798897652538
1.0771012560691417E-6     0                        -2.1888631934367493E-5   1.0008675083818366       0.9991339171175173
1.0813101581759386E-6     0                        -1.2899582910181515E-5   1.0005110099299392       0.9994893649956368
1.0857267348722638E-6     0                        -6.5655946709932095E-6   1.000259865277457        0.9997398809044072
1.0908419480508723E-6     0                        -3.195494957201569E-6    1.0001263469142503       0.9998732773031682
1.0688581476408835E-6     0                        -4.81027366200379E-5     1.0019072565195215       0.9980974430358013
1.0630303769542645E-6     0                        -8.162522355343248E-5    1.0032300249060653       0.9967655496344472
1.067109304668414E-6      0                        -5.2775571844569156E-5   1.002086973289424        0.9979073159723936
1.0590895575653656E-6     0                        -1.3151474810289466E-4   1.005216290633298        0.9948004641857019
1.0571442893613693E-6     0                        -1.641177034391672E-4    1.0065162631397282       0.9935181702632713
1.051777913430295E-6      0                        -2.813927448987591E-4    1.0111973787129036       0.9889105780735838
1.051258201768474E-6      0                        -2.9488140727054193E-4   1.0117360886714422       0.9883809184556238
1.0374361813136274E-6     0                        -0.0012529016586366008   1.0508403442730838       0.9515674072845646
1.042043521530423E-6      0                        -7.83380406233354E-4     1.031526359653923        0.9694697730502548
1.0444293285821225E-6     0                        -5.992685769809957E-4    1.0239927015999153       0.9765271260033866
1.0466508616494483E-6     0                        -4.6404032738060687E-4   1.0184916079952255       0.9817409432574856
1.0509409620039035E-6     0                        -3.017145189716703E-4    1.0119999478336987       0.9881042409067669
1.0002688709035342E-6     0                        -0.07213245823352421     17.402943119532285       0.0574595678641384
1.0003943439918503E-6     0                        -0.07084837285260688     16.538881325372827       0.06045059534292313
1.0005198170801661E-6     0                        -0.06959860421033034     15.73611220515184        0.06350630938849132
1.000645290168482E-6      0                        -0.068383152306715       14.994635758921252       0.06662671000091952
1.0E-6                    0                        -0.07500971449803666     19.5054660855395         0.05127768592263672
1.0000896236345117E-6     0                        -0.07403075384378795     18.763911611296134       0.05330415647390726
1.000179247269023E-6      0                        -0.07307166842228288     18.063070622624785       0.055364783787739694
1.0265480788933656E-6     0                        -0.003946635232540741    1.1691805770313493       0.8553049935328968
1.0301774463803259E-6     0                        -0.0027168236609913295   1.1138418192686703       0.898196097609584
1.0338068131426298E-6     0                        -0.001818912614131569    1.0743950812363359       0.9302835635975734
1.0187708628498795E-6     0                        -0.008939240699026       1.4248241876072296       0.7018541071141702
1.0213632681977083E-6     0                        -0.006824427000577779    1.311075082613917        0.7636116862382551
1.023955673545537E-6      0                        -0.0051602251783176255   1.2258605457538654       0.8147619817153825
1.0132157085331038E-6     0                        -0.016097446440797386    1.891864378256839        0.5285890237842997
1.0150674266386957E-6     0                        -0.01323723998777141     1.690714779646331        0.5924896777320976
1.0169191447442876E-6     0                        -0.010851171407063445    1.5350347160932514       0.650244705510737
1.0092477411639782E-6     0                        -0.024674690984692237    2.65716067330886         0.3763402503803926
1.0105703969536868E-6     0                        -0.021388744450956156    2.3352347406134464       0.42900696901807334
1.0118930527433953E-6     0                        -0.018529662936223046    2.0801359755895925       0.4797565601521838
1.00641347875746E-6       0                        -0.03376570473742312     3.808621561239967        0.26254677467129744
1.0073582328929663E-6     0                        -0.030385390681237617    3.3345055102365966       0.30035291343774817
1.0083029870284723E-6     0                        -0.02735505276358484     2.95068521424773         0.338284072006377
1.004389005609947E-6      0                        -0.042612425827773845    5.406300951718853        0.18494015348417675
1.0050638299924515E-6     0                        -0.0393938354886423      4.762902937247063        0.21017503365862358
1.0057386543749556E-6     0                        -0.03644492845847163     4.2303431404022005       0.23604390738699332
1.0029429533617235E-6     0                        -0.0506988239796513      7.446312043546167        0.13425346297327267
1.0034249707777981E-6     0                        -0.047805944269472656    6.643968131919263        0.1505917094552909
1.0039069881938725E-6     0                        -0.045110478218809556    5.963964434618873        0.16748727295863378
1.0019100588987068E-6     0                        -0.05773738836416443     9.838965478561805        0.10158581204859324
1.002254357053046E-6      0                        -0.05525371591222242     8.92063365240935         0.11210472955493989
1.0025986552073846E-6     0                        -0.05290752778402883     8.123082507377834        0.12299394652971979
1.001172277139409E-6      0                        -0.06362325566360365     12.420127911473642       0.0804561591606174
1.0014182043925085E-6     0                        -0.06157020548668503     11.4530116224951         0.08728036533344717
1.0016641316456075E-6     0                        -0.05960824972019225     10.592624144834291       0.09432358296273356
1.0008209524921244E-6     0                        -0.0667389897408415      14.051499350288685       0.07111443936226727
1.0009966148157669E-6     0                        -0.06515235752646345     13.19333006778844        0.07572425574882331
9.999642853912446E-7      0                        -0.07542393906578095     19.81450237090136        0.05041019225100523
9.9997619026083E-7        0                        -0.07528295179545597     19.711544126737902       0.05071038855669361
9.999880951304148E-7      0                        -0.07514487693954669     19.608532031621372       0.05099955311389262
9.903076390650485E-7      0                        -0.09913617631419083     50.70554390940329        0.01972067531371635
9.903753755134767E-7      0                        -0.09913430375525811     50.701785644531284       0.019722138851592776
9.904431119619049E-7      0                        -0.0991320509410796      50.69726464724207        0.0197238997616315
9.90510848410333E-7       0                        -0.09912941787165533     50.6919809175357         0.019725958043832526
9.901760653214316E-7      0                        -0.09913873280652066     50.7106754799447         0.01971867754736446
9.902199232359707E-7      0                        -0.09913803731561172     50.709279372440136       0.019719221006014497
9.902637811505096E-7      0                        -0.09913718515150177     50.70756884892636        0.019719886928131796
9.900908741114255E-7      0                        -0.09913961580086528     50.71244888805572        0.019717988139344365
9.901192711814277E-7      0                        -0.09913938202375508     50.71197930095732        0.019718170622079242
9.901476682514296E-7      0                        -0.09913908769230685     50.71138816492032        0.019718400424752612
9.900357146087554E-7      0                        -0.09913989353519359     50.71301142598809        0.019717774261202088
9.900541011096453E-7      0                        -0.09913982767454356     50.712877525981845       0.019717824664375497
9.900724876105353E-7      0                        -0.09913973509643416     50.71269001333772        0.01971789595708959
