% Model:              BrushLayer_exp_full_eq.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 24 2024, 15:35
% Table:              Conductivity - Conductivity
% w (rad/s)                                       conductivity (1)
0.01                                              0.9997507105264191+7.399842252674595E-10i
0.021544346900318832                              0.9997507105264282+1.5942476751980777E-9i
0.046415888336127774                              0.9997507105268519+3.4347023979172937E-9i
0.1                                               0.9997507105278612+7.3998410075055E-9i
0.21544346900318834                               0.9997507105334933+1.594246430004564E-8i
0.46415888336127775                               0.9997507105605064+3.434689951869494E-8i
1                                                 0.999750710684862+7.399716653519759E-8i
2.154434690031882                                 0.9997507112617359+1.5941225354931314E-7i
4.6415888336127775                                0.9997507139299464+3.433471282727299E-7i
10                                                0.9997507261416145+7.388286568804523E-7i
21.54434690031882                                 0.9997507806744387+1.584418115345361E-6i
46.41588833612777                                 0.9997510127396613+3.3562821224762228E-6i
100                                               0.9997518551901541+6.851984469738079E-6i
215.44346900318823                                0.9997542314913439+1.320605279045887E-5i
464.1588833612773                                 0.9997601112766705+2.3865178670400465E-5i
1000                                              0.9997731113297499+3.9335476565777315E-5i
2154.4346900318824                                0.9997972768914568+5.701159578979898E-5i
4641.588833612773                                 0.9998333085573049+7.070262865302155E-5i
10000                                             0.9998757710777656+7.478284341247266E-5i
21544.346900318822                                0.9999164688348631+6.896372778002762E-5i
46415.888336127726                                0.9999500207679392+5.7244316229926864E-5i
100000                                            0.9999751764996736+4.383577627217619E-5i
215443.46900318822                                0.9999929969132826+3.105106495212461E-5i
464158.8833612772                                 1.0000050869217398+1.9258154419566314E-5i
1000000                                           1.0000126647493561+7.2552568735752755E-6i
2154434.6900318777                                1.0000156184822624-7.746732012873257E-6i
4641588.833612773                                 1.000009729206273-2.949178060084464E-5i
10000000                                          0.9999830976058566-5.3695208914055977E-5i
2.154434690031878E7                               0.9999392827001538-5.4836319909577766E-5i
4.641588833612773E7                               0.9999122552501097-3.4493288832722696E-5i
100000000                                         0.9999033894080142-1.7933318758686793E-5i
2.1544346900318778E8                              0.9999007758929778-9.05267995485417E-6i
4.641588833612773E8                               0.9998997874704051-4.698456185714679E-6i
1000000000                                        0.9998992173484315-2.591206232820504E-6i
2.154434690031878E9                               0.9998987656376637-1.493603096887149E-6i
4.641588833612773E9                               0.9998984754402229-8.200591354090749E-7i
1.0E10                                            0.9998983496650125-4.228686183776824E-7i
